t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,Paff_MW,lost_MW,pump,gen
228.0,2.11078,2.768,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
232.0,2.05455,2.76792,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
236.0,1.99841,2.76785,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
240.0,1.94236,2.76777,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
244.0,1.8864,2.7677,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
248.0,1.83054,2.76762,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
252.0,1.77477,2.76754,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
256.0,1.71909,2.76746,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
260.0,1.6635,2.76737,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
264.0,1.608,2.76729,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
268.0,1.55259,2.7672,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
272.0,1.49727,2.76711,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
276.0,1.44204,2.76702,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
280.0,1.3869,2.76693,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
284.0,1.33185,2.76684,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
288.0,1.27689,2.76674,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
292.0,1.22202,2.76664,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
296.0,1.16724,2.76655,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
300.0,1.11254,2.76645,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
304.0,1.05793,2.76635,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
308.0,1.00342,2.76624,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
312.0,0.94899,2.76614,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
