scan,scenario,label,buses,R_per_min,reserve_frac,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,saet_min,solve_s
reserve_frac,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,0.5,SP,True,0.0,0.0,130.51,0.0,88.6;116.9;124.8,9.9
reserve_frac,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,0.35,PA,True,343.27,141.1,163.4,50.54,88.6;116.9;124.8,1.1
reserve_frac,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,0.35,SP,True,50.54,76.57,161.7,50.54,88.6;116.9;124.8,2.5
reserve_frac,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,0.25,PA,True,389.29,532.62,246.75,345.05,88.6;116.9;124.8,1.0
reserve_frac,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,0.25,SP,True,345.05,638.7,246.72,345.05,88.6;116.9;124.8,0.9
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,1.0,PA,True,567.2,341.93,165.61,57.12,107.0;116.9;88.6,4.7
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,1.0,SP,True,57.35,95.69,36.76,57.12,107.0;116.9;88.6,35.3
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,0.5,PA,True,615.25,595.29,165.61,324.94,107.0;116.9;88.6,1.8
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,0.5,SP,True,328.7,602.23,131.87,324.94,107.0;116.9;88.6,7.0
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,0.35,PA,True,665.0,1029.6,165.61,659.8,107.0;116.9;88.6,1.1
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,0.35,SP,True,659.8,1305.93,161.15,659.8,107.0;116.9;88.6,1.3
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,0.25,PA,True,891.57,1367.71,243.48,889.85,107.0;116.9;88.6,1.0
reserve_frac,S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,0.25,SP,True,889.85,1864.26,243.39,889.85,107.0;116.9;88.6,1.0
