scenario_id,类别,故障发展速率,故障范围,预警情形,控制策略,考察指标,研究定位
S00,基准,无故障,无,-,正常运行,稳态潮流基线,基线(必做)
S01,单机-无预警,市政阶跃断水,单机(bus89),NOWARN,被动(跳机后备用响应),少发功率峰值/损失电量,核心-被动基准
S02,单机-有预警,市政阶跃断水,单机(bus89),WARN,主动(runback+备用预起机),少发功率峰值/损失电量,核心-预警价值
S03,单机-渐降断水,市政渐降(ramp),单机(bus89),WARN vs NOWARN,主动 vs 被动,断水速率对少发电量的影响,拓展-速率对比
S04,多机-被动PA,市政断水,同源3机(89/80/10),NOWARN,PA 被动控制,少发功率/损失电量,P6-被动基准
S05,多机-静态主动SP,市政断水,同源3机(89/80/10),WARN,SP 静态主动(T=SAET),少发功率/损失电量,P6-静态主动
S06,多机-动态主动DP,市政断水,同源3机(89/80/10),WARN,DP 动态主动(T=α·SAET),少发功率/损失电量,P6-动态主动(核心)
